File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Value/Program Version and Build (),Value/Weather File (),Area/Conditioned Total (m2),Electricity Intensity/HVAC (kWh/m2),Natural Gas Intensity/HVAC (kWh/m2),Electricity/Heating (kWh),Electricity/Cooling (kWh),Electricity/Interior Lighting (kWh),Electricity/Exterior Lighting (kWh),Electricity/Interior Equipment (kWh),Electricity/Exterior Equipment (kWh),Electricity/Fans (kWh),Electricity/Pumps (kWh),Electricity/Heat Rejection (kWh),Electricity/Humidification (kWh),Electricity/Heat Recovery (kWh),Electricity/Water Systems (kWh),Electricity/Refrigeration (kWh),Electricity/Generators (kWh),Natural Gas/Heating (kWh),Natural Gas/Cooling (kWh),Natural Gas/Interior Lighting (kWh),Natural Gas/Exterior Lighting (kWh),Natural Gas/Interior Equipment (kWh),Natural Gas/Exterior Equipment (kWh),Natural Gas/Fans (kWh),Natural Gas/Pumps (kWh),Natural Gas/Heat Rejection (kWh),Natural Gas/Humidification (kWh),Natural Gas/Heat Recovery (kWh),Natural Gas/Water Systems (kWh),Natural Gas/Refrigeration (kWh),Natural Gas/Generators (kWh),Electricity:Facility [J](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Hourly)
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ01/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan/instance-out.sql,CZ01,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:08",CA_EUREKA - USA Custom-725940 WMO#=725940,4644.87,42.49,63.01,0.0,334.37,249305.1,0.0,177647.52,0.0,197023.81,0.0,0.0,0.0,0.0,0.0,370076.69,0.0,221955.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70697.61,0.0,0.0,530469537.7370982,20.015
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ01/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan/instance-out.sql,CZ01,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:06",CA_EUREKA - USA Custom-725940 WMO#=725940,4644.87,42.49,63.01,0.0,334.37,249305.1,0.0,177647.52,0.0,197023.81,0.0,0.0,0.0,0.0,0.0,918177.31,0.0,221955.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70697.61,0.0,0.0,1185095542.3580732,20.015
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ01/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool/instance-out.sql,CZ01,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:06",CA_EUREKA - USA Custom-725940 WMO#=725940,4644.87,42.49,63.01,0.0,334.37,249305.1,0.0,177647.52,0.0,197023.81,0.0,0.0,0.0,0.0,0.0,800439.93,0.0,221955.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70697.61,0.0,0.0,1221103194.1277142,20.015
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ01/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool/instance-out.sql,CZ01,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:06",CA_EUREKA - USA Custom-725940 WMO#=725940,4644.87,42.49,63.01,0.0,334.37,249305.1,0.0,177647.52,0.0,197023.81,0.0,0.0,0.0,0.0,0.0,924933.24,0.0,221955.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70697.61,0.0,0.0,1185095542.3580732,20.015
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ02/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool/instance-out.sql,CZ02,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:08",CA_NAPA-CO - USA Custom-724955 WMO#=724955,4644.87,48.29,39.63,0.0,21210.03,249305.1,0.0,177647.52,0.0,203090.06,0.0,0.0,0.0,0.0,0.0,1174434.89,0.0,119054.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64998.84,0.0,0.0,1240219734.9392867,29.13916666666667
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ01/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool/instance-out.sql,CZ01,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:07",CA_EUREKA - USA Custom-725940 WMO#=725940,4644.87,42.49,63.01,0.0,334.37,249305.1,0.0,177647.52,0.0,197023.81,0.0,0.0,0.0,0.0,0.0,366347.08,0.0,221955.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70697.61,0.0,0.0,528473172.1599139,20.015
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ01/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan/instance-out.sql,CZ01,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:06",CA_EUREKA - USA Custom-725940 WMO#=725940,4644.87,42.49,63.01,0.0,334.37,249305.1,0.0,177647.52,0.0,197023.81,0.0,0.0,0.0,0.0,0.0,793501.89,0.0,221955.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70697.61,0.0,0.0,1221103194.1277142,20.015
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ01/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool/instance-out.sql,CZ01,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:08",CA_EUREKA - USA Custom-725940 WMO#=725940,4644.87,42.49,63.01,0.0,334.37,249305.1,0.0,177647.52,0.0,197023.81,0.0,0.0,0.0,0.0,0.0,379584.31,0.0,221955.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70697.61,0.0,0.0,535330395.4005111,20.015
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ02/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan/instance-out.sql,CZ02,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:09",CA_NAPA-CO - USA Custom-724955 WMO#=724955,4644.87,48.29,39.63,0.0,21210.03,249305.1,0.0,177647.52,0.0,203090.06,0.0,0.0,0.0,0.0,0.0,1169436.84,0.0,119054.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64998.84,0.0,0.0,1240219734.9392867,29.13916666666667
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ02/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan/instance-out.sql,CZ02,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:10",CA_NAPA-CO - USA Custom-724955 WMO#=724955,4644.87,48.29,39.63,0.0,21210.03,249305.1,0.0,177647.52,0.0,203090.06,0.0,0.0,0.0,0.0,0.0,365698.34,0.0,119054.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64998.84,0.0,0.0,590256975.7204609,29.13916666666667
